,name
108,Reach+Academy--Oakland+Unified--0161259-0110239
109,Redwood+Heights+Elem--Oakland+Unified--0161259-6002141
110,Rise+Community--Oakland+Unified--0161259-0110262
111,Roosevelt+Middle--Oakland+Unified--0161259-6057087
112,ROOTS+International--Oakland+Unified--0161259-0112805
113,Roses+in+Concrete--Oakland+Unified--0161259-0131896
114,Rudsdale+Continuatio--Oakland+Unified--0161259-0130146
115,Sankofa+Academy--Oakland+Unified--0161259-0110254
116,Sequoia+Elementary--Oakland+Unified--0161259-6002174
117,Skyline+High--Oakland+Unified--0161259-0137943
118,Street+Academy+%28Alte--Oakland+Unified--0161259-0130179
119,Think+College+Now--Oakland+Unified--0161259-0100792
120,Thornhill+Elementary--Oakland+Unified--0161259-6002216
121,United+for+Success+A--Oakland+Unified--0161259-0112763
122,Urban+Promise+Academ--Oakland+Unified--0161259-6118657
123,Vincent+Academy--Oakland+Unified--0161259-0123711
124,West+Oakland+Middle--Oakland+Unified--0161259-0115626
125,Westlake+Middle--Oakland+Unified--0161259-6057095
126,Young+Adult+Program--Oakland+Unified--0161259-0121228
